Freq.	V(n004)/V(ampli:n003)	V(n004)/V(ampli:n010)
9.18958683997632e-001	(5.66344899755034e+001dB,-1.79997994347528e+002°)	(5.47095873289735e+001dB,1.79997345792890e+002°)
9.51365692002181e-001	(5.66344899754802e+001dB,-1.79997937130116e+002°)	(5.47095873274031e+001dB,1.79997263226730e+002°)
9.84915530675938e-001	(5.66344899757326e+001dB,-1.79997877434877e+002°)	(5.47095873261380e+001dB,1.79997177373202e+002°)
1.01964850185541e+000	(5.66344899758829e+001dB,-1.79997815190085e+002°)	(5.47095873247994e+001dB,1.79997088129164e+002°)
1.05560632861832e+000	(5.66344899756051e+001dB,-1.79997750320955e+002°)	(5.47095873230591e+001dB,1.79996995387401e+002°)
1.09283220540352e+000	(5.66344899755941e+001dB,-1.79997682749545e+002°)	(5.47095873216063e+001dB,1.79996899036499e+002°)
1.13137084989848e+000	(5.66344899758256e+001dB,-1.79997612394673e+002°)	(5.47095873204130e+001dB,1.79996798960707e+002°)
1.17126855675651e+000	(5.66344899754531e+001dB,-1.79997539171809e+002°)	(5.47095873186320e+001dB,1.79996695039802e+002°)
1.21257325320832e+000	(5.66344899753119e+001dB,-1.79997462992982e+002°)	(5.47095873170916e+001dB,1.79996587148941e+002°)
1.25533455663481e+000	(5.66344899749086e+001dB,-1.79997383766667e+002°)	(5.47095873152958e+001dB,1.79996475158514e+002°)
1.29960383416998e+000	(5.66344899745614e+001dB,-1.79997301397682e+002°)	(5.47095873135572e+001dB,1.79996358933988e+002°)
1.34543426440595e+000	(5.66344899740764e+001dB,-1.79997215787069e+002°)	(5.47095873116778e+001dB,1.79996238335743e+002°)
1.39288090127381e+000	(5.66344899734799e+001dB,-1.79997126831974e+002°)	(5.47095873096789e+001dB,1.79996113218906e+002°)
1.44200074017734e+000	(5.66344899729809e+001dB,-1.79997034425528e+002°)	(5.47095873077635e+001dB,1.79995983433178e+002°)
1.49285278645890e+000	(5.66344899722824e+001dB,-1.79996938456716e+002°)	(5.47095873056304e+001dB,1.79995848822652e+002°)
1.54549812627976e+000	(5.66344899713210e+001dB,-1.79996838810245e+002°)	(5.47095873032106e+001dB,1.79995709225624e+002°)
1.60000000000001e+000	(5.66344899703461e+001dB,-1.79996735366400e+002°)	(5.47095873007468e+001dB,1.79995564474405e+002°)
1.65642387814621e+000	(5.66344899694153e+001dB,-1.79996628000909e+002°)	(5.47095872982902e+001dB,1.79995414395110e+002°)
1.71483754005808e+000	(5.66344899681185e+001dB,-1.79996516584787e+002°)	(5.47095872954258e+001dB,1.79995258807461e+002°)
1.77531115530856e+000	(5.66344899670309e+001dB,-1.79996400984182e+002°)	(5.47095872927196e+001dB,1.79995097524557e+002°)
1.83791736799527e+000	(5.66344899657137e+001dB,-1.79996281060218e+002°)	(5.47095872897278e+001dB,1.79994930352663e+002°)
1.90273138400437e+000	(5.66344899638935e+001dB,-1.79996156668822e+002°)	(5.47095872861700e+001dB,1.79994757090966e+002°)
1.96983106135188e+000	(5.66344899625344e+001dB,-1.79996027660556e+002°)	(5.47095872829993e+001dB,1.79994577531342e+002°)
2.03929700371083e+000	(5.66344899606006e+001dB,-1.79995893880436e+002°)	(5.47095872791753e+001dB,1.79994391458101e+002°)
2.11121265723664e+000	(5.66344899584454e+001dB,-1.79995755167742e+002°)	(5.47095872750413e+001dB,1.79994198647730e+002°)
2.18566441080705e+000	(5.66344899562538e+001dB,-1.79995611355832e+002°)	(5.47095872707724e+001dB,1.79993998868623e+002°)
2.26274169979697e+000	(5.66344899542750e+001dB,-1.79995462271935e+002°)	(5.47095872666074e+001dB,1.79993791880807e+002°)
2.34253711351302e+000	(5.66344899516700e+001dB,-1.79995307736948e+002°)	(5.47095872616999e+001dB,1.79993577435649e+002°)
2.42514650641665e+000	(5.66344899490992e+001dB,-1.79995147565216e+002°)	(5.47095872566972e+001dB,1.79993355275559e+002°)
2.51066911326962e+000	(5.66344899462240e+001dB,-1.79994981564316e+002°)	(5.47095872512501e+001dB,1.79993125133681e+002°)
2.59920766833997e+000	(5.66344899431586e+001dB,-1.79994809534818e+002°)	(5.47095872454560e+001dB,1.79992886733574e+002°)
2.69086852881191e+000	(5.66344899399336e+001dB,-1.79994631270049e+002°)	(5.47095872393413e+001dB,1.79992639788876e+002°)
2.78576180254762e+000	(5.66344899363327e+001dB,-1.79994446555847e+002°)	(5.47095872326722e+001dB,1.79992384002964e+002°)
2.88400148035468e+000	(5.66344899322908e+001dB,-1.79994255170298e+002°)	(5.47095872253691e+001dB,1.79992119068597e+002°)
2.98570557291781e+000	(5.66344899285194e+001dB,-1.79994056883474e+002°)	(5.47095872181254e+001dB,1.79991844667543e+002°)
3.09099625255953e+000	(5.66344899241214e+001dB,-1.79993851457156e+002°)	(5.47095872100305e+001dB,1.79991560470205e+002°)
3.20000000000002e+000	(5.66344899197371e+001dB,-1.79993638644544e+002°)	(5.47095872017048e+001dB,1.79991266135216e+002°)
3.31284775629243e+000	(5.66344899144575e+001dB,-1.79993418189966e+002°)	(5.47095871922234e+001dB,1.79990961309036e+002°)
3.42967508011616e+000	(5.66344899091509e+001dB,-1.79993189828565e+002°)	(5.47095871824313e+001dB,1.79990645625522e+002°)
3.55062231061713e+000	(5.66344899037670e+001dB,-1.79992953285988e+002°)	(5.47095871722570e+001dB,1.79990318705494e+002°)
3.67583473599054e+000	(5.66344898972086e+001dB,-1.79992708278049e+002°)	(5.47095871605839e+001dB,1.79989980156275e+002°)
3.80546276800874e+000	(5.66344898910019e+001dB,-1.79992454510390e+002°)	(5.47095871489083e+001dB,1.79989629571219e+002°)
