time	V(n002)
1.733197697852084e-006	-1.759758e+001
1.734340554994944e-006	-1.757745e+001
1.735483412137804e-006	-1.755732e+001
1.736626269280663e-006	-1.753719e+001
1.737769126423523e-006	-1.751705e+001
1.738911983566383e-006	-1.749692e+001
1.739111983566383e-006	-1.749340e+001
1.741797697852103e-006	-1.744609e+001
1.744483412137823e-006	-1.739877e+001
1.747169126423543e-006	-1.735144e+001
1.749854840709264e-006	-1.730411e+001
1.752540554994984e-006	-1.725677e+001
1.755226269280704e-006	-1.720942e+001
1.757911983566424e-006	-1.716207e+001
1.760797697852145e-006	-1.711118e+001
1.763683412137865e-006	-1.706027e+001
1.766569126423586e-006	-1.700933e+001
1.769454840709307e-006	-1.695837e+001
1.772340554995027e-006	-1.690739e+001
1.775226269280748e-006	-1.685639e+001
1.778111983566468e-006	-1.680536e+001
1.780454840709331e-006	-1.676391e+001
1.782797697852193e-006	-1.672244e+001
1.785140554995055e-006	-1.668094e+001
1.787483412137918e-006	-1.663942e+001
1.789826269280780e-006	-1.659788e+001
1.792169126423642e-006	-1.655631e+001
1.794511983566504e-006	-1.651473e+001
1.795140554995077e-006	-1.650356e+001
1.795769126423650e-006	-1.649240e+001
1.796397697852223e-006	-1.648124e+001
1.797026269280796e-006	-1.647007e+001
1.797654840709369e-006	-1.645890e+001
1.798283412137941e-006	-1.644773e+001
1.798911983566514e-006	-1.643656e+001
1.799111983566515e-006	-1.643300e+001
1.801254840709376e-006	-1.639490e+001
1.803397697852238e-006	-1.635677e+001
1.805540554995100e-006	-1.631863e+001
1.807683412137962e-006	-1.628046e+001
1.809826269280824e-006	-1.624228e+001
1.811969126423686e-006	-1.620407e+001
1.814111983566547e-006	-1.616584e+001
1.817283412137983e-006	-1.610923e+001
1.820454840709419e-006	-1.605257e+001
1.823626269280854e-006	-1.599587e+001
1.826797697852290e-006	-1.593912e+001
1.829969126423725e-006	-1.588234e+001
1.833140554995161e-006	-1.582551e+001
1.836311983566596e-006	-1.576864e+001
1.839540554995175e-006	-1.571070e+001
1.842769126423753e-006	-1.565273e+001
1.845997697852332e-006	-1.559472e+001
1.849226269280910e-006	-1.553667e+001
1.852454840709489e-006	-1.547859e+001
1.855683412138067e-006	-1.542047e+001
1.858911983566646e-006	-1.536231e+001
1.859111983566646e-006	-1.535870e+001
1.862226269280939e-006	-1.530257e+001
1.865340554995231e-006	-1.524640e+001
1.868454840709524e-006	-1.519021e+001
1.871569126423816e-006	-1.513398e+001
1.874683412138109e-006	-1.507772e+001
1.877797697852401e-006	-1.502143e+001
1.880911983566694e-006	-1.496511e+001
1.883940554995272e-006	-1.491031e+001
1.886969126423850e-006	-1.485548e+001
1.889997697852428e-006	-1.480062e+001
1.893026269281006e-006	-1.474573e+001
1.896054840709584e-006	-1.469081e+001
1.899083412138162e-006	-1.463587e+001
1.902111983566740e-006	-1.458090e+001
1.904511983566746e-006	-1.453731e+001
1.906911983566751e-006	-1.449371e+001
1.909311983566756e-006	-1.445009e+001
1.911711983566761e-006	-1.440645e+001
1.914111983566767e-006	-1.436280e+001
1.916511983566772e-006	-1.431912e+001
1.918911983566777e-006	-1.427543e+001
1.919111983566778e-006	-1.427179e+001
1.922054840709641e-006	-1.421818e+001
1.924997697852505e-006	-1.416456e+001
1.927940554995369e-006	-1.411090e+001
1.930883412138232e-006	-1.405721e+001
1.933826269281095e-006	-1.400350e+001
1.936769126423959e-006	-1.394976e+001
1.939711983566823e-006	-1.389600e+001
1.942654840709686e-006	-1.384220e+001
1.945597697852550e-006	-1.378838e+001
1.948540554995414e-006	-1.373453e+001
1.951483412138277e-006	-1.368066e+001
1.954426269281141e-006	-1.362675e+001
1.957369126424005e-006	-1.357282e+001
1.960311983566868e-006	-1.351886e+001
1.962969126424017e-006	-1.347012e+001
1.965626269281165e-006	-1.342135e+001
1.968283412138314e-006	-1.337256e+001
1.970940554995463e-006	-1.332374e+001
1.973597697852612e-006	-1.327490e+001
