time	V(realim)
6.556872315939969e-004	-1.173284e+001
6.574330926553849e-004	-1.181839e+001
6.604173342218394e-004	-1.196082e+001
6.655288488911148e-004	-1.219424e+001
6.730140477184165e-004	-1.251495e+001
6.806988535642588e-004	-1.282181e+001
6.840898657925996e-004	-1.294783e+001
6.875833626881168e-004	-1.306937e+001
6.916864856624672e-004	-1.320434e+001
6.954004458738427e-004	-1.331882e+001
6.999764439489494e-004	-1.344909e+001
7.055008530613954e-004	-1.359218e+001
7.110099751858508e-004	-1.371818e+001
7.179706680323075e-004	-1.385212e+001
7.267597305323078e-004	-1.398509e+001
7.355487930323082e-004	-1.407767e+001
7.443378555323085e-004	-1.412737e+001
7.531269180323088e-004	-1.413404e+001
7.619159805323092e-004	-1.409767e+001
7.707050430323095e-004	-1.401836e+001
7.794941055323098e-004	-1.389636e+001
7.882831680323102e-004	-1.373203e+001
7.970722305323105e-004	-1.352587e+001
8.058612930323108e-004	-1.328092e+001
8.125534850109330e-004	-1.306812e+001
8.181618375943198e-004	-1.287168e+001
8.220067142483186e-004	-1.272712e+001
8.260187377373872e-004	-1.256758e+001
8.298296338383575e-004	-1.240847e+001
8.341674919767460e-004	-1.221842e+001
8.388935438888023e-004	-1.200030e+001
8.455383271522201e-004	-1.167918e+001
8.481938300818276e-004	-1.154609e+001
8.496212237373967e-004	-1.147271e+001
8.503130271538505e-004	-1.143675e+001
8.508617738520628e-004	-1.140807e+001
8.513998748533912e-004	-1.137987e+001
8.519656494870983e-004	-1.135014e+001
8.525188270775688e-004	-1.132102e+001
8.531897963490473e-004	-1.128557e+001
8.540190184422704e-004	-1.124149e+001
8.550054625132125e-004	-1.118859e+001
8.558814428219442e-004	-1.114113e+001
8.567743067985200e-004	-1.109223e+001
8.577308925443996e-004	-1.103925e+001
8.589830348150179e-004	-1.096938e+001
8.595674879595949e-004	-1.093657e+001
8.604116187069045e-004	-1.088887e+001
8.612104173714268e-004	-1.084348e+001
8.622165233583383e-004	-1.078590e+001
8.633325723739014e-004	-1.072153e+001
8.645896548081077e-004	-1.064838e+001
8.661222165358721e-004	-1.055828e+001
8.678341971310368e-004	-1.045665e+001
8.687125849896260e-004	-1.040402e+001
8.697106697062194e-004	-1.034381e+001
8.700446484941242e-004	-1.032354e+001
8.705387107727294e-004	-1.029348e+001
8.707095472633144e-004	-1.028307e+001
8.709874539563076e-004	-1.026607e+001
8.712867429658856e-004	-1.024775e+001
8.716294797413001e-004	-1.022673e+001
8.720136657232687e-004	-1.020311e+001
8.724002435098518e-004	-1.017928e+001
8.729239827082206e-004	-1.014689e+001
8.735237599851974e-004	-1.010966e+001
8.744723870541616e-004	-1.005046e+001
8.756932884833339e-004	-9.973655e+000
8.779627347164773e-004	-9.829141e+000
8.814165264124365e-004	-9.605199e+000
8.865543966652921e-004	-9.263753e+000
8.929462617650744e-004	-8.825271e+000
9.017353242650747e-004	-8.200365e+000
9.105243867650751e-004	-7.552268e+000
9.193134492650754e-004	-6.881091e+000
9.281025117650757e-004	-6.188888e+000
9.368915742650761e-004	-5.477776e+000
9.456806367650764e-004	-4.749932e+000
9.544696992650767e-004	-4.007587e+000
9.632587617650771e-004	-3.253800e+000
9.691190592253851e-004	-2.745913e+000
9.716507826518948e-004	-2.525024e+000
9.739686343841593e-004	-2.322020e+000
9.760922224165856e-004	-2.135579e+000
9.783052935630728e-004	-1.940863e+000
9.804836079935070e-004	-1.748829e+000
9.827907209856426e-004	-1.545060e+000
9.853441685161411e-004	-1.319131e+000
9.884543023968937e-004	-1.043461e+000
9.932034906150900e-004	-6.218340e-001
1.000629574653903e-003	3.799300e-002
1.008620660872581e-003	7.473990e-001
1.017409723372581e-003	1.525095e+000
1.026198785872581e-003	2.299182e+000
1.029926348170040e-003	2.625659e+000
1.033467853491321e-003	2.934011e+000
1.038084181249778e-003	3.333688e+000
1.042544654630037e-003	3.717118e+000
1.048115705024989e-003	4.191606e+000
1.054305123095175e-003	4.712642e+000
1.061191862226971e-003	5.283553e+000
1.069261287775520e-003	5.939518e+000
1.078050350275520e-003	6.636838e+000
1.086839412775520e-003	7.314074e+000
1.095628475275521e-003	7.968792e+000
1.104417537775521e-003	8.602303e+000
1.108867941507790e-003	8.913637e+000
1.112339590923424e-003	9.150935e+000
1.114063845576333e-003	9.267242e+000
1.114723034040685e-003	9.311294e+000
1.115053218025096e-003	9.333247e+000
1.115260104080912e-003	9.347031e+000
1.115450319522184e-003	9.359680e+000
1.115671106577453e-003	9.374302e+000
1.115921179269054e-003	9.390855e+000
1.116410075459497e-003	9.423136e+000
1.117271107041957e-003	9.479743e+000
1.118663725904827e-003	9.570688e+000
1.120553839357218e-003	9.692948e+000
1.122916847975680e-003	9.844149e+000
1.124451218448404e-003	9.941153e+000
1.126360636738042e-003	1.006063e+001
1.126933447361473e-003	1.009617e+001
1.127489596786588e-003	1.013044e+001
1.128032899107153e-003	1.016378e+001
1.128532786652437e-003	1.019434e+001
1.129471211550210e-003	1.025141e+001
1.130788503044228e-003	1.033102e+001
1.131983675584683e-003	1.040262e+001
1.133828546505196e-003	1.051177e+001
1.136660323971251e-003	1.067722e+001
1.137901380622582e-003	1.074885e+001
1.138674066007490e-003	1.079303e+001
1.139051193150518e-003	1.081447e+001
1.139350119114171e-003	1.083141e+001
1.139621735947344e-003	1.084677e+001
1.139887841462877e-003	1.086177e+001
1.140166203753771e-003	1.087742e+001
1.140426208155587e-003	1.089199e+001
1.140695722649269e-003	1.090704e+001
1.140962387089275e-003	1.092186e+001
1.141248803119697e-003	1.093769e+001
1.141548193895529e-003	1.095414e+001
1.141888181410024e-003	1.097270e+001
1.142272929591254e-003	1.099358e+001
1.142746557678044e-003	1.101911e+001
1.143392530391155e-003	1.105376e+001
1.144376509499403e-003	1.110639e+001
1.145355308801670e-003	1.115888e+001
1.146083889865645e-003	1.119823e+001
1.146677179682597e-003	1.123048e+001
1.147277151700659e-003	1.126305e+001
1.147931191175434e-003	1.129810e+001
1.148214225431426e-003	1.131305e+001
1.148490371848929e-003	1.132767e+001
1.148848467535181e-003	1.134664e+001
1.149126872769694e-003	1.136125e+001
1.149452208123946e-003	1.137830e+001
1.149817578403415e-003	1.139742e+001
1.150199979518644e-003	1.141734e+001
1.150619299654683e-003	1.143912e+001
1.151061794170192e-003	1.146202e+001
1.151545830976600e-003	1.148696e+001
1.152071383804525e-003	1.151393e+001
1.152632917567609e-003	1.154260e+001
1.153265080040420e-003	1.157471e+001
1.153849999020430e-003	1.160424e+001
1.154677839391952e-003	1.164573e+001
1.155855743518917e-003	1.170410e+001
1.158211551772847e-003	1.181869e+001
1.161680314891585e-003	1.198171e+001
1.168617841129060e-003	1.228987e+001
1.177375835077253e-003	1.264893e+001
1.186164897577253e-003	1.297268e+001
1.194953960077253e-003	1.325690e+001
1.203743022577254e-003	1.350071e+001
1.212532085077254e-003	1.370338e+001
1.221321147577254e-003	1.386429e+001
1.230110210077255e-003	1.398297e+001
1.238899272577255e-003	1.405905e+001
1.247688335077255e-003	1.409230e+001
1.256477397577256e-003	1.408264e+001
1.265266460077256e-003	1.403008e+001
1.274055522577256e-003	1.393478e+001
1.282844585077257e-003	1.379703e+001
1.291633647577257e-003	1.361724e+001
1.300422710077257e-003	1.339594e+001
1.309211772577258e-003	1.313381e+001
1.318000835077258e-003	1.283163e+001
1.326789897577258e-003	1.249031e+001
1.335578960077259e-003	1.211088e+001
1.344368022577259e-003	1.169988e+001
1.347813638162293e-003	1.152953e+001
1.349598435736633e-003	1.143829e+001
1.350479138268629e-003	1.139268e+001
1.351074401732694e-003	1.136170e+001
1.351618138929855e-003	1.133338e+001
1.352206142800335e-003	1.130277e+001
1.352778542973782e-003	1.127300e+001
1.353442322026872e-003	1.123841e+001
1.354261009773530e-003	1.119540e+001
1.355610317335020e-003	1.112355e+001
1.356635747467137e-003	1.106806e+001
1.357320582650869e-003	1.103047e+001
1.357893082968214e-003	1.099862e+001
1.358320251901621e-003	1.097448e+001
1.358640922425782e-003	1.095623e+001
1.359017411636315e-003	1.093510e+001
1.359115090027493e-003	1.092986e+001
1.359205135920392e-003	1.092510e+001
1.359326555348003e-003	1.091842e+001
1.359504465294658e-003	1.090835e+001
1.359682739782015e-003	1.089829e+001
1.359816957815624e-003	1.089078e+001
1.359990657624360e-003	1.088103e+001
1.360166680305887e-003	1.087113e+001
1.360342655093967e-003	1.086121e+001
1.360527170537139e-003	1.085079e+001
1.360723662089559e-003	1.083969e+001
1.360913963463457e-003	1.082891e+001
1.361126120159342e-003	1.081688e+001
1.361341801160041e-003	1.080463e+001
1.361585361636628e-003	1.079077e+001
1.361847296366020e-003	1.077583e+001
1.362152474278369e-003	1.075840e+001
1.362503239827911e-003	1.073831e+001
1.362932836296864e-003	1.071362e+001
1.363468216422794e-003	1.068274e+001
1.364267066760063e-003	1.063641e+001
1.365638854427709e-003	1.055606e+001
1.368382429763002e-003	1.039238e+001
1.373869580433587e-003	1.005775e+001
1.376715822953995e-003	9.879806e+000
1.380266663338173e-003	9.652775e+000
1.382620095840749e-003	9.499693e+000
1.385402712294029e-003	9.315591e+000
1.388514057636417e-003	9.106441e+000
1.391776194662780e-003	8.883556e+000
1.394807784344969e-003	8.673127e+000
1.397708956835221e-003	8.468619e+000
1.401021311844365e-003	8.231316e+000
1.405528724773677e-003	7.901914e+000
1.412642661508327e-003	7.370183e+000
1.419282072427221e-003	6.860909e+000
1.428071134927221e-003	6.168198e+000
1.436860197427221e-003	5.457813e+000
1.445649259927222e-003	4.730615e+000
1.454438322427222e-003	3.988837e+000
1.463227384927222e-003	3.234760e+000
1.472016447427223e-003	2.471235e+000
1.478148951343482e-003	1.933921e+000
1.481901827348530e-003	1.603242e+000
1.485643286713506e-003	1.272398e+000
1.489577240682375e-003	9.236642e-001
1.495186786134080e-003	4.255110e-001
1.502293144509554e-003	-2.059306e-001
1.511080660588192e-003	-9.859568e-001
1.517666312021001e-003	-1.569170e+000
1.520735955468358e-003	-1.840262e+000
1.522518802040405e-003	-1.997344e+000
1.524162955966299e-003	-2.141960e+000
1.525739966649010e-003	-2.280454e+000
1.527336608534990e-003	-2.420434e+000
1.529187388067901e-003	-2.582386e+000
1.531163509856586e-003	-2.754903e+000
1.533623921610824e-003	-2.969071e+000
1.536577834165086e-003	-3.225189e+000
1.540520724493961e-003	-3.565122e+000
1.546003498825070e-003	-4.033522e+000
1.554602807969869e-003	-4.758452e+000
1.563391870469870e-003	-5.486009e+000
1.572180932969870e-003	-6.196867e+000
1.580969995469870e-003	-6.888779e+000
1.589759057969871e-003	-7.559630e+000
1.598548120469871e-003	-8.207372e+000
1.607337182969871e-003	-8.830026e+000
1.616126245469872e-003	-9.425693e+000
1.624915307969872e-003	-9.997795e+000
1.627710327860173e-003	-1.017362e+001
1.629960934177986e-003	-1.031195e+001
1.630637392755911e-003	-1.035307e+001
1.631237603653077e-003	-1.038928e+001
1.631789160082665e-003	-1.042241e+001
1.632383097139881e-003	-1.045792e+001
1.633366610823092e-003	-1.051643e+001
1.634386801183055e-003	-1.057671e+001
1.635676851058327e-003	-1.065224e+001
1.637585566397759e-003	-1.076245e+001
1.640951426468158e-003	-1.095379e+001
1.642519319721179e-003	-1.104131e+001
1.643532987547844e-003	-1.109688e+001
1.644719694345155e-003	-1.116129e+001
1.645624805037436e-003	-1.121017e+001
1.646382724655901e-003	-1.125100e+001
1.647011820785183e-003	-1.128483e+001
1.647763717484371e-003	-1.132508e+001
1.648516334015850e-003	-1.136514e+001
1.648826206828223e-003	-1.138155e+001
1.649160723081138e-003	-1.139920e+001
1.649572012547187e-003	-1.142082e+001
1.649879550479605e-003	-1.143693e+001
1.650253173089127e-003	-1.145645e+001
1.650585580914517e-003	-1.147375e+001
1.650984761619059e-003	-1.149447e+001
1.651387657096704e-003	-1.151530e+001
1.651846490810420e-003	-1.153893e+001
1.652355411733821e-003	-1.156503e+001
1.652895633659933e-003	-1.159260e+001
1.653550239872675e-003	-1.162583e+001
1.654158439147045e-003	-1.165652e+001
1.655013240182672e-003	-1.169932e+001
1.656254252948812e-003	-1.176080e+001
1.658217876641718e-003	-1.185625e+001
1.662071901721210e-003	-1.203771e+001
1.667986031913460e-003	-1.230160e+001
1.676775094413460e-003	-1.266437e+001
1.685564156913460e-003	-1.299161e+001
1.694353219413461e-003	-1.327929e+001
1.703142281913461e-003	-1.352651e+001
1.711931344413461e-003	-1.373254e+001
1.720720406913462e-003	-1.389675e+001
1.729509469413462e-003	-1.401862e+001
1.738298531913462e-003	-1.409781e+001
1.747087594413463e-003	-1.413405e+001
1.755876656913463e-003	-1.412726e+001
1.764665719413463e-003	-1.407743e+001
1.773454781913464e-003	-1.398474e+001
1.782243844413464e-003	-1.384945e+001
1.791032906913464e-003	-1.367197e+001
1.799821969413465e-003	-1.345285e+001
1.808611031913465e-003	-1.319276e+001
1.817400094413465e-003	-1.289248e+001
1.826189156913466e-003	-1.255292e+001
1.834978219413466e-003	-1.217514e+001
1.843767281913466e-003	-1.176577e+001
1.847148203926226e-003	-1.159907e+001
1.849329944066124e-003	-1.148767e+001
1.850266466512164e-003	-1.143913e+001
1.850867845707194e-003	-1.140772e+001
1.851409907091041e-003	-1.137931e+001
1.851996052004262e-003	-1.134852e+001
1.852543076873285e-003	-1.131972e+001
1.853235163298472e-003	-1.128314e+001
1.854059291068357e-003	-1.123931e+001
1.855035017022630e-003	-1.118697e+001
1.855907936001154e-003	-1.113965e+001
1.856806096580354e-003	-1.109045e+001
1.857763203282974e-003	-1.103743e+001
1.859037199532981e-003	-1.096631e+001
1.859640188088983e-003	-1.093245e+001
1.860466865069943e-003	-1.088571e+001
1.861298229935249e-003	-1.083844e+001
1.862300268729630e-003	-1.078106e+001
1.863436320164095e-003	-1.071549e+001
1.864710961139488e-003	-1.064126e+001
1.866256203087464e-003	-1.055033e+001
1.867985511679502e-003	-1.044756e+001
1.868912439496712e-003	-1.039196e+001
1.869833778856725e-003	-1.033629e+001
1.870304577737163e-003	-1.030769e+001
1.870740798453783e-003	-1.028112e+001
1.871004621905804e-003	-1.026501e+001
1.871264756279099e-003	-1.024907e+001
1.871785025025691e-003	-1.021713e+001
1.872324737312697e-003	-1.018389e+001
1.873095495687410e-003	-1.013620e+001
1.873997554865411e-003	-1.008005e+001
1.875624809062485e-003	-9.977806e+000
1.878166227256638e-003	-9.816094e+000
1.881273646001000e-003	-9.614651e+000
1.886430490604829e-003	-9.272123e+000
1.892618679850326e-003	-8.848118e+000
1.901407742350326e-003	-8.224020e+000
1.910196804850326e-003	-7.576822e+000
1.918985867350327e-003	-6.906469e+000
1.927774929850327e-003	-6.215012e+000
1.936563992350327e-003	-5.504566e+000
1.945353054850328e-003	-4.777306e+000
1.954142117350328e-003	-4.035461e+000
1.962931179850328e-003	-3.281306e+000
1.971720242350329e-003	-2.517999e+000
1.976394008520165e-003	-2.108877e+000
1.978813241766526e-003	-1.896073e+000
1.981157397081245e-003	-1.689320e+000
1.983603548821664e-003	-1.473154e+000
