time	V(realim)
8.706365656165754e-004	-1.029515e+001
8.775794834640551e-004	-9.858692e+000
8.863685459640554e-004	-9.281191e+000
8.951576084640558e-004	-8.677021e+000
9.039466709640561e-004	-8.046425e+000
9.127357334640564e-004	-7.391325e+000
9.215247959640568e-004	-6.713719e+000
9.303138584640571e-004	-6.015672e+000
9.391029209640574e-004	-5.299313e+000
9.478919834640578e-004	-4.566826e+000
9.566810459640581e-004	-3.820446e+000
9.654701084640584e-004	-3.062446e+000
9.742591709640588e-004	-2.295140e+000
9.830482334640591e-004	-1.520867e+000
9.918372959640594e-004	-7.419869e-001
1.000626358464060e-003	3.912390e-002
1.009415420964060e-003	8.200840e-001
1.018204483464060e-003	1.598512e+000
1.026993545964061e-003	2.372034e+000
1.035782608464061e-003	3.138292e+000
1.044571670964061e-003	3.894949e+000
1.053360733464062e-003	4.639697e+000
1.062149795964062e-003	5.370267e+000
1.070938858464062e-003	6.084430e+000
1.079727920964063e-003	6.780009e+000
1.088516983464063e-003	7.454883e+000
1.097306045964063e-003	8.106995e+000
1.106095108464064e-003	8.734356e+000
1.114884170964064e-003	9.335054e+000
1.123673233464064e-003	9.907258e+000
1.132462295964065e-003	1.045228e+001
1.137916732108461e-003	1.077613e+001
1.140873642152657e-003	1.094532e+001
1.144115896066065e-003	1.112589e+001
1.146198507012222e-003	1.123939e+001
1.148270773465180e-003	1.135007e+001
1.150705722678736e-003	1.147769e+001
1.153092768051044e-003	1.159992e+001
1.156883452279880e-003	1.178960e+001
1.158512376745129e-003	1.186948e+001
1.159306036369855e-003	1.190779e+001
1.159740777820625e-003	1.192860e+001
1.160106517146502e-003	1.194603e+001
1.160454606024302e-003	1.196255e+001
1.160823240832870e-003	1.197997e+001
1.161191732354953e-003	1.199731e+001
1.161558818317394e-003	1.201452e+001
1.161987953870122e-003	1.203455e+001
1.162455155422851e-003	1.205627e+001
1.163197957916764e-003	1.209068e+001
1.163778849616427e-003	1.211748e+001
1.164347538258776e-003	1.214355e+001
1.164966964512635e-003	1.217173e+001
1.165841770258811e-003	1.221124e+001
1.166337349314158e-003	1.223347e+001
1.166921833631134e-003	1.225950e+001
1.167557938153589e-003	1.228763e+001
1.168259443080463e-003	1.231845e+001
1.168925500221332e-003	1.234748e+001
1.169609363255888e-003	1.237706e+001
1.170354462234909e-003	1.240900e+001
1.171452825128235e-003	1.245559e+001
1.172537575433765e-003	1.250092e+001
1.174707076044826e-003	1.258963e+001
1.177614486336832e-003	1.270460e+001
1.182243433096099e-003	1.287758e+001
1.189721487433853e-003	1.313421e+001
1.198510549933854e-003	1.340182e+001
1.207299612433854e-003	1.363002e+001
1.216088674933854e-003	1.381663e+001
1.224877737433855e-003	1.396107e+001
1.233666799933855e-003	1.406290e+001
1.242455862433855e-003	1.412182e+001
1.251244924933856e-003	1.413764e+001
1.260033987433856e-003	1.411032e+001
1.268823049933856e-003	1.403994e+001
1.277612112433857e-003	1.392671e+001
1.286401174933857e-003	1.377098e+001
1.295190237433857e-003	1.357323e+001
1.303979299933858e-003	1.333406e+001
1.312768362433858e-003	1.305419e+001
1.321557424933858e-003	1.273448e+001
1.330346487433859e-003	1.238175e+001
