Freq.	V(n001)/1A
6.75588050315731e+001	(-4.72316161523626e+001dB,-1.79178319965263e+002°)
6.99412611458260e+001	(-4.72315829051345e+001dB,-1.79173754002090e+002°)
7.24077343935035e+001	(-4.72315489212986e+001dB,-1.79168195689761e+002°)
7.49611876324171e+001	(-4.72315140654915e+001dB,-1.79161638360587e+002°)
7.76046882053335e+001	(-4.72314781492207e+001dB,-1.79154074151253e+002°)
8.03414116246284e+001	(-4.72314410001382e+001dB,-1.79145493990121e+002°)
8.31746453868797e+001	(-4.72314024534539e+001dB,-1.79135887586742e+002°)
8.61077929219816e+001	(-4.72313623172718e+001dB,-1.79125243421526e+002°)
8.91443776815244e+001	(-4.72313204055087e+001dB,-1.79113548730267e+002°)
9.22880473713504e+001	(-4.72312765031131e+001dB,-1.79100789491032e+002°)
9.55425783333705e+001	(-4.72312304059869e+001dB,-1.79086950405173e+002°)
9.89118800819056e+001	(-4.72311818998080e+001dB,-1.79072014880387e+002°)
1.02400000000002e+002	(-4.72311307376940e+001dB,-1.79055965012590e+002°)
1.06011128201359e+002	(-4.72310766742423e+001dB,-1.79038781562546e+002°)
1.09749602563718e+002	(-4.72310194628264e+001dB,-1.79020443933102e+002°)
1.13619913939749e+002	(-4.72309588295812e+001dB,-1.79000930146741e+002°)
1.17626711551698e+002	(-4.72308944692954e+001dB,-1.78980216820025e+002°)
1.21774808576280e+002	(-4.72308260801025e+001dB,-1.78958279133422e+002°)
1.26069187926521e+002	(-4.72307533333840e+001dB,-1.78935090804247e+002°)
1.30515008237494e+002	(-4.72306758732621e+001dB,-1.78910624055893e+002°)
1.35117610063146e+002	(-4.72305933486398e+001dB,-1.78884849582324e+002°)
1.39882522291652e+002	(-4.72305053357072e+001dB,-1.78857736520516e+002°)
1.44815468787007e+002	(-4.72304114335468e+001dB,-1.78829252405644e+002°)
1.49922375264834e+002	(-4.72303111909654e+001dB,-1.78799363139634e+002°)
1.55209376410667e+002	(-4.72302041071367e+001dB,-1.78768032951581e+002°)
1.60682823249257e+002	(-4.72300896956266e+001dB,-1.78735224349278e+002°)
1.66349290773760e+002	(-4.72299673869697e+001dB,-1.78700898085603e+002°)
1.72215585843964e+002	(-4.72298366018106e+001dB,-1.78665013105170e+002°)
1.78288755363049e+002	(-4.72296967137275e+001dB,-1.78627526500594e+002°)
1.84576094742701e+002	(-4.72295470585069e+001dB,-1.78588393461567e+002°)
1.91085156666741e+002	(-4.72293868982951e+001dB,-1.78547567227596e+002°)
1.97823760163812e+002	(-4.72292154874100e+001dB,-1.78504999025793e+002°)
2.04800000000003e+002	(-4.72290320042122e+001dB,-1.78460638023034e+002°)
2.12022256402718e+002	(-4.72288355566489e+001dB,-1.78414431267438e+002°)
2.19499205127437e+002	(-4.72286252183738e+001dB,-1.78366323622560e+002°)
2.27239827879498e+002	(-4.72283999685811e+001dB,-1.78316257712948e+002°)
2.35253423103397e+002	(-4.72281587367483e+001dB,-1.78264173852565e+002°)
2.43549617152561e+002	(-4.72279003693454e+001dB,-1.78210009981920e+002°)
2.52138375853043e+002	(-4.72276236386174e+001dB,-1.78153701596647e+002°)
2.61030016474989e+002	(-4.72273272149120e+001dB,-1.78095181679607e+002°)
2.70235220126293e+002	(-4.72270096750444e+001dB,-1.78034380624686e+002°)
2.79765044583305e+002	(-4.72266695167601e+001dB,-1.77971226156548e+002°)
2.89630937574015e+002	(-4.72263051035506e+001dB,-1.77905643260475e+002°)
2.99844750529669e+002	(-4.72259147034710e+001dB,-1.77837554092684e+002°)
3.10418752821335e+002	(-4.72254964625610e+001dB,-1.77766877899850e+002°)
3.21365646498515e+002	(-4.72250483792656e+001dB,-1.77693530936522e+002°)
3.32698581547520e+002	(-4.72245683233774e+001dB,-1.77617426370942e+002°)
3.44431171687928e+002	(-4.72240540013854e+001dB,-1.77538474199068e+002°)
3.56577510726099e+002	(-4.72235029820925e+001dB,-1.77456581143126e+002°)
3.69152189485403e+002	(-4.72229126397620e+001dB,-1.77371650565970e+002°)
3.82170313333483e+002	(-4.72222801707515e+001dB,-1.77283582366412e+002°)
3.95647520327624e+002	(-4.72216025680708e+001dB,-1.77192272881879e+002°)
4.09600000000007e+002	(-4.72208766266540e+001dB,-1.77097614780527e+002°)
4.24044512805436e+002	(-4.72200989223228e+001dB,-1.76999496957535e+002°)
4.38998410254874e+002	(-4.72192657621713e+001dB,-1.76897804438118e+002°)
4.54479655758998e+002	(-4.72183731931646e+001dB,-1.76792418261731e+002°)
4.70506846206794e+002	(-4.72174170252498e+001dB,-1.76683215358909e+002°)
4.87099234305124e+002	(-4.72163927499165e+001dB,-1.76570068457141e+002°)
5.04276751706087e+002	(-4.72152955293114e+001dB,-1.76452845965042e+002°)
5.22060032949979e+002	(-4.72141202170204e+001dB,-1.76331411843056e+002°)
5.40470440252588e+002	(-4.72128612807594e+001dB,-1.76205625505956e+002°)
5.59530089166611e+002	(-4.72115128309601e+001dB,-1.76075341686962e+002°)
5.79261875148031e+002	(-4.72100685485218e+001dB,-1.75940410337095e+002°)
5.99689501059339e+002	(-4.72085216833742e+001dB,-1.75800676498281e+002°)
6.20837505642671e+002	(-4.72068650260913e+001dB,-1.75655980185276e+002°)
6.42731292997030e+002	(-4.72050908492285e+001dB,-1.75506156280492e+002°)
6.65397163095041e+002	(-4.72031909130515e+001dB,-1.75351034402998e+002°)
6.88862343375856e+002	(-4.72011564170165e+001dB,-1.75190438799302e+002°)
7.13155021452198e+002	(-4.71989779456086e+001dB,-1.75024188240003e+002°)
7.38304378970806e+002	(-4.71966454195537e+001dB,-1.74852095916885e+002°)
7.64340626666967e+002	(-4.71941481283636e+001dB,-1.74673969301913e+002°)
7.91295040655249e+002	(-4.71914745776048e+001dB,-1.74489610099932e+002°)
8.19200000000016e+002	(-4.71886125326723e+001dB,-1.74298814109104e+002°)
8.48089025610873e+002	(-4.71855489129135e+001dB,-1.74101371161613e+002°)
8.77996820509748e+002	(-4.71822697606168e+001dB,-1.73897065031920e+002°)
9.08959311517996e+002	(-4.71787601957879e+001dB,-1.73685673359044e+002°)
