time	V(n001)
8.872403917156113e-004	-9.180157e-001
8.970261060013268e-004	-8.499440e-001
9.002403917156130e-004	-8.270270e-001
9.034546774298991e-004	-8.037968e-001
9.066689631441853e-004	-7.802534e-001
9.098832488584714e-004	-7.563967e-001
9.130975345727576e-004	-7.322267e-001
9.163118202870438e-004	-7.077435e-001
9.195261060013298e-004	-6.829470e-001
9.238832488584732e-004	-6.488585e-001
9.282403917156168e-004	-6.143493e-001
9.325975345727602e-004	-5.794194e-001
9.369546774299036e-004	-5.440688e-001
9.413118202870471e-004	-5.082976e-001
9.456689631441905e-004	-4.721056e-001
9.500261060013339e-004	-4.354929e-001
9.505261060013339e-004	-4.312777e-001
9.510261060013340e-004	-4.270583e-001
9.515261060013341e-004	-4.228349e-001
9.518822445654868e-004	-4.198244e-001
9.520940506531044e-004	-4.180328e-001
9.522526155234686e-004	-4.166910e-001
9.523904931840841e-004	-4.155239e-001
9.525221880066275e-004	-4.144089e-001
9.526622313605448e-004	-4.132228e-001
9.527973627015364e-004	-4.120781e-001
9.529481806929351e-004	-4.108001e-001
9.531243048386212e-004	-4.093071e-001
9.533734464860855e-004	-4.071944e-001
9.535798369164415e-004	-4.054435e-001
9.537718448505411e-004	-4.038140e-001
9.539759863724621e-004	-4.020809e-001
9.541662099041837e-004	-4.004654e-001
9.543372840244324e-004	-3.990120e-001
9.544977502647578e-004	-3.976483e-001
9.546637663028243e-004	-3.962370e-001
9.548974773595795e-004	-3.942493e-001
9.552535181747467e-004	-3.912196e-001
9.556633427871002e-004	-3.877299e-001
9.561633427871003e-004	-3.834691e-001
9.565668018631833e-004	-3.800283e-001
9.571309365345271e-004	-3.752137e-001
9.674331594436672e-004	-2.865092e-001
9.690760165865246e-004	-2.722395e-001
9.707188737293819e-004	-2.579446e-001
9.723617308722393e-004	-2.436245e-001
9.740045880150967e-004	-2.292793e-001
9.756474451579541e-004	-2.149088e-001
9.772903023008114e-004	-2.005131e-001
9.789331594436687e-004	-1.860923e-001
9.795760165865260e-004	-1.804451e-001
9.802188737293833e-004	-1.747953e-001
9.808617308722405e-004	-1.691427e-001
9.815045880150976e-004	-1.634874e-001
9.821474451579548e-004	-1.578294e-001
9.827903023008121e-004	-1.521686e-001
9.834331594436693e-004	-1.465052e-001
9.844331594436695e-004	-1.376911e-001
9.849331594436695e-004	-1.332819e-001
9.854331594436696e-004	-1.288715e-001
9.859331594436697e-004	-1.244597e-001
9.864331594436697e-004	-1.200468e-001
9.869331594436698e-004	-1.156327e-001
9.874331594436699e-004	-1.112174e-001
9.879331594436699e-004	-1.068010e-001
9.884331594436700e-004	-1.023836e-001
9.889331594436701e-004	-9.796514e-002
9.894331594436701e-004	-9.354573e-002
9.899331594436702e-004	-8.912539e-002
9.904331594436703e-004	-8.470419e-002
9.909331594436703e-004	-8.028214e-002
9.914331594436704e-004	-7.585931e-002
9.919331594436705e-004	-7.143572e-002
9.924331594436705e-004	-6.701143e-002
9.929331594436706e-004	-6.258647e-002
9.934331594436707e-004	-5.816090e-002
9.939331594436707e-004	-5.373476e-002
9.949331594436709e-004	-4.488092e-002
9.959331594436710e-004	-3.602532e-002
9.969331594436711e-004	-2.716829e-002
9.984331594436713e-004	-1.388084e-002
9.999331594436715e-004	-5.921585e-004
1.001433159443672e-003	1.269657e-002
1.002933159443672e-003	2.598418e-002
1.003433159443672e-003	3.041293e-002
1.004433159443672e-003	3.926948e-002
1.005433159443672e-003	4.812447e-002
1.006433159443672e-003	5.697757e-002
1.006933159443673e-003	6.140330e-002
1.007433159443673e-003	6.582842e-002
1.007933159443673e-003	7.025290e-002
1.008433159443673e-003	7.467668e-002
1.008933159443673e-003	7.909972e-002
1.009433159443673e-003	8.352198e-002
1.009933159443673e-003	8.794342e-002
1.010433159443673e-003	9.236398e-002
1.010933159443673e-003	9.678365e-002
1.011433159443673e-003	1.012023e-001
1.011933159443673e-003	1.056200e-001
1.012433159443673e-003	1.100367e-001
1.012933159443673e-003	1.144523e-001
1.013433159443673e-003	1.188667e-001
1.013933159443673e-003	1.232800e-001
1.014433159443674e-003	1.276921e-001
1.014933159443674e-003	1.321028e-001
1.015433159443674e-003	1.365123e-001
1.015933159443674e-003	1.409205e-001
1.016433159443674e-003	1.453272e-001
1.017433159443674e-003	1.541364e-001
1.018433159443674e-003	1.629395e-001
1.019933159443674e-003	1.761319e-001
1.020933159443674e-003	1.849191e-001
1.021933159443675e-003	1.936982e-001
1.022933159443675e-003	2.024690e-001
1.023933159443675e-003	2.112318e-001
1.024933159443675e-003	2.199863e-001
1.025933159443675e-003	2.287327e-001
1.026933159443675e-003	2.374709e-001
1.029147445157961e-003	2.567933e-001
1.031361730872247e-003	2.760567e-001
1.033576016586533e-003	2.952611e-001
1.035790302300819e-003	3.144065e-001
1.038004588015105e-003	3.334930e-001
1.040218873729391e-003	3.525205e-001
1.042433159443677e-003	3.714890e-001
1.042861475969066e-003	3.751483e-001
1.043296620722663e-003	3.788629e-001
1.043796620722663e-003	3.831276e-001
1.044296620722664e-003	3.873887e-001
1.045296620722664e-003	3.958993e-001
1.045796620722664e-003	4.001494e-001
1.045967041247637e-003	4.015972e-001
1.046081302265441e-003	4.025675e-001
1.046154026462102e-003	4.031849e-001
1.046222812759990e-003	4.037688e-001
1.046296862090611e-003	4.043973e-001
1.046364869821357e-003	4.049745e-001
1.046438036461955e-003	4.055953e-001
1.046513434597485e-003	4.062350e-001
1.046597660431170e-003	4.069495e-001
1.046690522225145e-003	4.077371e-001
1.046799029165428e-003	4.086572e-001
1.046926074621303e-003	4.097343e-001
1.047091240525439e-003	4.111341e-001
1.047295955741115e-003	4.128686e-001
1.047487652159636e-003	4.144922e-001
1.047625837172208e-003	4.156622e-001
1.047727116476940e-003	4.165196e-001
1.047796123259684e-003	4.171036e-001
1.047845602781565e-003	4.175223e-001
1.047887970892916e-003	4.178808e-001
1.047906445139252e-003	4.180371e-001
1.047914413963456e-003	4.181046e-001
1.047921703589428e-003	4.181662e-001
1.047935698883931e-003	4.182847e-001
1.047950444199236e-003	4.184094e-001
1.047962806753326e-003	4.185140e-001
1.047976967167237e-003	4.186338e-001
1.047990291275190e-003	4.187465e-001
1.048009606497996e-003	4.189099e-001
1.048027921708184e-003	4.190648e-001
1.048052168175091e-003	4.192699e-001
1.048080927596648e-003	4.195132e-001
1.048112280516813e-003	4.197783e-001
1.048141361137966e-003	4.200243e-001
1.048158897488520e-003	4.201726e-001
1.048176213872685e-003	4.203191e-001
1.048199438498846e-003	4.205154e-001
1.048224108206424e-003	4.207240e-001
1.048249792715302e-003	4.209412e-001
1.048269032615830e-003	4.211039e-001
1.048287162739984e-003	4.212572e-001
1.048304799689240e-003	4.214063e-001
1.048324141789920e-003	4.215698e-001
1.048349900115298e-003	4.217876e-001
1.048379419001690e-003	4.220371e-001
1.048412836765522e-003	4.223196e-001
1.048444374527125e-003	4.225861e-001
1.048484045719741e-003	4.229214e-001
1.048517292791534e-003	4.232024e-001
1.048563410784548e-003	4.235921e-001
1.048610494914843e-003	4.239900e-001
1.048704663175434e-003	4.247855e-001
1.048855213034486e-003	4.260571e-001
1.049006353548388e-003	4.273333e-001
1.049151149578848e-003	4.285555e-001
1.049376348908881e-003	4.304556e-001
1.052291671992555e-003	4.549965e-001
1.055206995076229e-003	4.793646e-001
1.058122318159904e-003	5.035598e-001
1.061037641243578e-003	5.275822e-001
1.063952964327252e-003	5.514317e-001
1.066868287410926e-003	5.751084e-001
1.069783610494600e-003	5.986122e-001
1.072497896208886e-003	6.203114e-001
1.075212181923172e-003	6.418147e-001
1.077926467637458e-003	6.631221e-001
1.080640753351744e-003	6.842337e-001
1.083355039066030e-003	7.051494e-001
1.086069324780317e-003	7.258692e-001
1.088783610494603e-003	7.463932e-001
1.092783610494603e-003	7.762191e-001
1.104997896208890e-003	8.652673e-001
1.117212181923178e-003	9.481106e-001
1.129426467637465e-003	1.024749e+000
1.141640753351753e-003	1.095183e+000
1.153855039066040e-003	1.159412e+000
1.166069324780327e-003	1.217435e+000
1.178283610494615e-003	1.269255e+000
1.187426467637473e-003	1.302599e+000
1.196569324780331e-003	1.331451e+000
1.205712181923190e-003	1.355812e+000
1.214855039066048e-003	1.375682e+000
1.223997896208906e-003	1.391059e+000
1.233140753351765e-003	1.401945e+000
1.242283610494623e-003	1.408340e+000
1.242783610494623e-003	1.408547e+000
1.254640753351768e-003	1.409135e+000
1.266497896208912e-003	1.402126e+000
1.278355039066057e-003	1.387522e+000
