time	V(n002)-5.4261mV
1.079930000003920e-003	1.362197e-001
1.085930000003885e-003	1.454714e-001
1.091930000003849e-003	1.545163e-001
1.097930000003813e-003	1.633417e-001
1.103930000003778e-003	1.719349e-001
1.109930000003742e-003	1.802838e-001
1.115930000003707e-003	1.883765e-001
1.121930000003671e-003	1.962015e-001
1.127930000003635e-003	2.037477e-001
1.133930000003600e-003	2.110043e-001
1.139930000003564e-003	2.179611e-001
1.145930000003528e-003	2.246081e-001
1.151930000003493e-003	2.309360e-001
1.157930000003457e-003	2.369357e-001
1.163930000003421e-003	2.425987e-001
1.169930000003386e-003	2.479169e-001
1.175930000003350e-003	2.528828e-001
1.181930000003315e-003	2.574894e-001
1.187930000003279e-003	2.617300e-001
1.193930000003243e-003	2.655987e-001
1.199930000003208e-003	2.690900e-001
1.205930000003172e-003	2.721989e-001
1.211930000003136e-003	2.749209e-001
1.217930000003101e-003	2.772524e-001
1.223930000003065e-003	2.791897e-001
1.229930000003029e-003	2.807304e-001
1.235930000002994e-003	2.818721e-001
1.241930000002958e-003	2.826132e-001
1.247930000002923e-003	2.829527e-001
1.253930000002887e-003	2.828902e-001
1.259930000002851e-003	2.824256e-001
1.265930000002816e-003	2.815597e-001
1.271930000002780e-003	2.802937e-001
1.277930000002744e-003	2.786293e-001
1.283930000002709e-003	2.765690e-001
1.289930000002673e-003	2.741157e-001
1.295930000002638e-003	2.712728e-001
1.301930000002602e-003	2.680445e-001
1.307930000002566e-003	2.644352e-001
1.313930000002531e-003	2.604501e-001
1.319930000002495e-003	2.560950e-001
1.325930000002459e-003	2.513759e-001
1.331930000002424e-003	2.462996e-001
1.337930000002388e-003	2.408732e-001
1.343930000002352e-003	2.351046e-001
1.349930000002317e-003	2.290019e-001
1.355930000002281e-003	2.225737e-001
1.361930000002246e-003	2.158292e-001
1.367930000002210e-003	2.087781e-001
1.373930000002174e-003	2.014302e-001
1.379930000002139e-003	1.937961e-001
1.385930000002103e-003	1.858866e-001
1.391930000002067e-003	1.777130e-001
1.397930000002032e-003	1.692868e-001
1.403930000001996e-003	1.606200e-001
1.409930000001960e-003	1.517250e-001
1.415930000001925e-003	1.426143e-001
1.421930000001889e-003	1.333010e-001
1.427930000001854e-003	1.237983e-001
1.433930000001818e-003	1.141196e-001
1.434784285716099e-003	1.127280e-001
1.435638571430379e-003	1.113331e-001
1.436492857144660e-003	1.099352e-001
1.437347142858940e-003	1.085341e-001
1.438201428573221e-003	1.071298e-001
1.439055714287502e-003	1.057224e-001
1.439910000001782e-003	1.043118e-001
1.439930000001782e-003	1.042788e-001
1.445930000001747e-003	9.428976e-002
1.451930000001711e-003	8.416673e-002
1.457930000001675e-003	7.392409e-002
1.463930000001640e-003	6.357639e-002
1.469930000001604e-003	5.313834e-002
1.475930000001569e-003	4.262478e-002
1.481930000001533e-003	3.205064e-002
1.487930000001497e-003	2.143096e-002
1.493930000001462e-003	1.078082e-002
1.499930000001426e-003	1.153438e-004
1.500418571429995e-003	-7.533648e-004
1.500907142858563e-003	-1.622045e-003
1.501395714287132e-003	-2.490697e-003
1.501884285715700e-003	-3.359321e-003
1.502372857144269e-003	-4.227916e-003
1.502861428572837e-003	-5.096483e-003
1.503350000001406e-003	-5.965022e-003
1.505930000001390e-003	-1.055029e-002
1.511930000001355e-003	-2.120095e-002
1.517930000001319e-003	-3.182147e-002
1.523930000001283e-003	-4.239679e-002
1.529930000001248e-003	-5.291187e-002
1.535930000001212e-003	-6.335175e-002
1.541930000001177e-003	-7.370161e-002
1.547930000001141e-003	-8.394674e-002
1.553930000001105e-003	-9.407258e-002
1.554784285715386e-003	-9.550387e-002
1.555638571429667e-003	-9.693231e-002
1.556492857143947e-003	-9.835789e-002
1.557347142858228e-003	-9.978062e-002
