Freq.	V(ampli:n003)	V(ampli:n010)
1.39288090127381e+000	(2.48940377329311e+001dB,-1.18270069613296e+002°)	(2.68189403967322e+001dB,-1.18263309664176e+002°)
1.44200074017734e+000	(2.51160906964780e+001dB,-1.19222229004719e+002°)	(2.70409933616954e+001dB,-1.19215246863426e+002°)
1.49285278645890e+000	(2.53339963162236e+001dB,-1.20185871983382e+002°)	(2.72588989828757e+001dB,-1.20178659262751e+002°)
1.54549812627976e+000	(2.55476276214606e+001dB,-1.21160442356978e+002°)	(2.74725302895710e+001dB,-1.21152990392847e+002°)
1.60000000000001e+000	(2.57568620281716e+001dB,-1.22145318726264e+002°)	(2.76817646977708e+001dB,-1.22137618567069e+002°)
1.65642387814621e+000	(2.59615822302057e+001dB,-1.23139815704302e+002°)	(2.78864849013308e+001dB,-1.23131858100322e+002°)
1.71483754005808e+000	(2.61616770914048e+001dB,-1.24143185770627e+002°)	(2.80865797640976e+001dB,-1.24134961162874e+002°)
1.77531115530856e+000	(2.63570425262481e+001dB,-1.25154621776756e+002°)	(2.82819452005593e+001dB,-1.25146120285496e+002°)
1.83791736799527e+000	(2.65475823566593e+001dB,-1.26173260111712e+002°)	(2.84724850326453e+001dB,-1.26164471524592e+002°)
1.90273138400437e+000	(2.67332091307931e+001dB,-1.27198184516363e+002°)	(2.86581118085166e+001dB,-1.27189098276152e+002°)
1.96983106135188e+000	(2.69138448907170e+001dB,-1.28228430527744e+002°)	(2.88387475702521e+001dB,-1.28219035719642e+002°)
2.03929700371083e+000	(2.70894218762118e+001dB,-1.29262990521030e+002°)	(2.90143245576372e+001dB,-1.29253275859567e+002°)
2.11121265723664e+000	(2.72598831508933e+001dB,-1.30300819294123e+002°)	(2.91847858342974e+001dB,-1.30290773109594e+002°)
2.18566441080705e+000	(2.74251831403701e+001dB,-1.31340840139801e+002°)	(2.93500858258514e+001dB,-1.31330450364256e+002°)
2.26274169979697e+000	(2.75852880714881e+001dB,-1.32381951327428e+002°)	(2.95101907591557e+001dB,-1.32371205480171e+002°)
2.34253711351302e+000	(2.77401763045061e+001dB,-1.33423032911413e+002°)	(2.96650789944762e+001dB,-1.33411918084010e+002°)
2.42514650641665e+000	(2.78898385511925e+001dB,-1.34462953770244e+002°)	(2.98147412435945e+001dB,-1.34451456611019e+002°)
2.51066911326962e+000	(2.80342779754226e+001dB,-1.35500578781641e+002°)	(2.99591806703964e+001dB,-1.35488685479639e+002°)
2.59920766833997e+000	(2.81735101734420e+001dB,-1.36534776025498e+002°)	(3.00984128711446e+001dB,-1.36522472293889e+002°)
2.69086852881191e+000	(2.83075630348681e+001dB,-1.37564423913974e+002°)	(3.02324657354604e+001dB,-1.37551694972899e+002°)
2.78576180254762e+000	(2.84364764870941e+001dB,-1.38588418145356e+002°)	(3.03613791907546e+001dB,-1.38575248704167e+002°)
2.88400148035468e+000	(2.85603021282870e+001dB,-1.39605678384159e+002°)	(3.04852048352087e+001dB,-1.39592052623054e+002°)
2.98570557291781e+000	(2.86791027563582e+001dB,-1.40615154577530e+002°)	(3.06040054667522e+001dB,-1.40601056128547e+002°)
3.09099625255953e+000	(2.87929518033815e+001dB,-1.41615832828875e+002°)	(3.07178545174724e+001dB,-1.41601244756235e+002°)
3.20000000000002e+000	(2.89019326855741e+001dB,-1.42606740754704e+002°)	(3.08268354036065e+001dB,-1.42591645534463e+002°)
3.31284775629243e+000	(2.90061380818357e+001dB,-1.43586952274070e+002°)	(3.09310408040698e+001dB,-1.43571331773071e+002°)
3.42967508011616e+000	(2.91056691527637e+001dB,-1.44555591780703e+002°)	(3.10305718794833e+001dB,-1.44539427234791e+002°)
