Freq.	V(n001)/1A
6.42731292997030e+002	(-3.92751771034568e+001dB,1.74766267864720e+000°)
6.65397163095041e+002	(-3.92748930092584e+001dB,1.80675161827966e+000°)
6.88862343375856e+002	(-3.92745885650904e+001dB,1.86800535640071e+000°)
7.13155021452198e+002	(-3.92742623089240e+001dB,1.93149686434368e+000°)
7.38304378970806e+002	(-3.92739126803770e+001dB,1.99730173624027e+000°)
7.64340626666967e+002	(-3.92735380035206e+001dB,2.06549827039153e+000°)
7.91295040655249e+002	(-3.92731364838323e+001dB,2.13616755639784e+000°)
8.19200000000016e+002	(-3.92727061954281e+001dB,2.20939356242144e+000°)
8.48089025610873e+002	(-3.92722450881767e+001dB,2.28526323049833e+000°)
8.77996820509748e+002	(-3.92717509496300e+001dB,2.36386656264778e+000°)
9.08959311517996e+002	(-3.92712214162389e+001dB,2.44529672220612e+000°)
9.41013692413589e+002	(-3.92706539560217e+001dB,2.52965013087165e+000°)
9.74198468610248e+002	(-3.92700458597745e+001dB,2.61702657032788e+000°)
1.00855350341218e+003	(-3.92693942216016e+001dB,2.70752928373912e+000°)
1.04412006589996e+003	(-3.92686959267076e+001dB,2.80126508144726e+000°)
1.08094088050518e+003	(-3.92679476427728e+001dB,2.89834445097221e+000°)
1.11906017833322e+003	(-3.92671458018411e+001dB,2.99888166638699e+000°)
1.15852375029606e+003	(-3.92662865776658e+001dB,3.10299489837419e+000°)
1.19937900211868e+003	(-3.92653658776168e+001dB,3.21080633206005e+000°)
1.24167501128534e+003	(-3.92643793194195e+001dB,3.32244228148068e+000°)
1.28546258599406e+003	(-3.92633222006214e+001dB,3.43803330352460e+000°)
1.33079432619008e+003	(-3.92621894955238e+001dB,3.55771432374377e+000°)
1.37772468675171e+003	(-3.92609758252981e+001dB,3.68162475488861e+000°)
1.42631004290440e+003	(-3.92596754224365e+001dB,3.80990861332287e+000°)
1.47660875794161e+003	(-3.92582821148198e+001dB,3.94271464502899e+000°)
1.52868125333394e+003	(-3.92567893015913e+001dB,4.08019644981657e+000°)
1.58259008131050e+003	(-3.92551899112295e+001dB,4.22251259792153e+000°)
1.63840000000003e+003	(-3.92534763781350e+001dB,4.36982675469369e+000°)
1.69617805122175e+003	(-3.92516406065505e+001dB,4.52230780003550e+000°)
1.75599364101950e+003	(-3.92496739267768e+001dB,4.68012994217290e+000°)
1.81791862303600e+003	(-3.92475670778442e+001dB,4.84347284478972e+000°)
1.88202738482718e+003	(-3.92453101388915e+001dB,5.01252172404311e+000°)
1.94839693722050e+003	(-3.92428925010230e+001dB,5.18746746512746e+000°)
2.01710700682435e+003	(-3.92403028236598e+001dB,5.36850672659989e+000°)
2.08824013179992e+003	(-3.92375289776810e+001dB,5.55584203256485e+000°)
